X,Y,Z,XDelta,YDelta,HeadingDelta,GammaDelta
-980.036843996774,-997.608701047717,54.290619743335,-1000,-1000,20.3490658503989,9.4764012244017
-990.018421998387,-998.804350523859,54.8100464922222,-1000,-1000,20.3490658503989,9.4764012244017
-1000,-1000,55.3294732411094,-1000,-1000,20.3490658503989,9.4764012244017
0,-1000,0,-980,-1000,20.3490658503989,9.4764012244017
0.201238792425286,-989.630020673836,0.536149616526204,-980,-1000,20.3490658503989,9.4764012244017
-0.672724724597231,-979.294975630511,1.07229923305241,-980,-1000,20.3490658503989,9.4764012244017
-2.61248871651298,-969.106046151301,1.60844884957861,-980,-1000,20.3490658503989,9.4764012244017
-5.59718579037971,-959.172841650543,2.14459846610482,-980,-1000,20.3490658503989,9.4764012244017
-9.59470747995437,-949.602220530782,2.68074808263102,-980,-1000,20.3490658503989,9.4764012244017
-14.5620496588385,-940.497140632476,3.21689769915723,-980,-1000,20.3490658503989,9.4764012244017
-20.4457751658323,-931.955551644765,3.75304731568343,-980,-1000,20.3490658503989,9.4764012244017
-27.1825886657145,-924.069341392404,4.28919693220964,-980,-1000,20.3490658503989,9.4764012244017
-34.7000175612687,-916.923347334407,4.82534654873584,-980,-1000,20.3490658503989,9.4764012244017
-42.9171916315131,-910.594443908382,5.36149616526204,-980,-1000,20.3490658503989,9.4764012244017
-51.7457130090199,-905.150715538639,5.89764578178825,-980,-1000,20.3490658503989,9.4764012244017
-61.0906071373732,-900.650724204591,6.43379539831445,-980,-1000,20.3490658503989,9.4764012244017
-70.8513444786536,-897.142879448737,6.96994501484066,-980,-1000,20.3490658503989,9.4764012244017
-80.9229219797292,-894.664917601478,7.50609463136686,-980,-1000,20.3490658503989,9.4764012244017
-91.1969926632671,-893.243495825119,8.04224424789307,-980,-1000,20.3490658503989,9.4764012244017
-101.563031191668,-892.893905344193,8.57839386441927,-980,-1000,20.3490658503989,9.4764012244017
-111.909522865139,-893.619906947108,9.11454348094547,-980,-1000,20.3490658503989,9.4764012244017
-121.887574326459,-894.842666637372,9.63395783052544,-980,-1000,20.3490658503989,9.4764012244017
-131.865625787779,-896.065426327635,10.1533721801054,-980,-1000,20.3490658503989,9.4764012244017
-141.8436772491,-897.288186017898,10.6727865296854,-980,-1000,20.3490658503989,9.4764012244017
-151.82172871042,-898.510945708161,11.1922008792653,-980,-1000,20.3490658503989,9.4764012244017
-161.79978017174,-899.733705398424,11.7116152288453,-980,-1000,20.3490658503989,9.4764012244017
-171.77783163306,-900.956465088687,12.2310295784253,-980,-1000,20.3490658503989,9.4764012244017
-181.755883094381,-902.17922477895,12.7504439280052,-980,-1000,20.3490658503989,9.4764012244017
-191.733934555701,-903.401984469213,13.2698582775852,-980,-1000,20.3490658503989,9.4764012244017
-201.711986017021,-904.624744159476,13.7892726271652,-980,-1000,20.3490658503989,9.4764012244017
-211.690037478341,-905.84750384974,14.3086869767451,-980,-1000,20.3490658503989,9.4764012244017
-221.668088939662,-907.070263540003,14.8281013263251,-980,-1000,20.3490658503989,9.4764012244017
-231.646140400982,-908.293023230266,15.347515675905,-980,-1000,20.3490658503989,9.4764012244017
-241.624191862302,-909.515782920529,15.866930025485,-980,-1000,20.3490658503989,9.4764012244017
-251.602243323622,-910.738542610792,16.386344375065,-980,-1000,20.3490658503989,9.4764012244017
-261.580294784943,-911.961302301055,16.9057587246449,-980,-1000,20.3490658503989,9.4764012244017
-271.558346246263,-913.184061991318,17.4251730742249,-980,-1000,20.3490658503989,9.4764012244017
-281.536397707583,-914.406821681581,17.9445874238049,-980,-1000,20.3490658503989,9.4764012244017
-291.514449168903,-915.629581371845,18.4640017733848,-980,-1000,20.3490658503989,9.4764012244017
-301.492500630224,-916.852341062108,18.9834161229648,-980,-1000,20.3490658503989,9.4764012244017
-311.470552091544,-918.075100752371,19.5028304725448,-980,-1000,20.3490658503989,9.4764012244017
-321.448603552864,-919.297860442634,20.0222448221247,-980,-1000,20.3490658503989,9.4764012244017
-331.426655014184,-920.520620132897,20.5416591717047,-980,-1000,20.3490658503989,9.4764012244017
-341.404706475504,-921.74337982316,21.0610735212847,-980,-1000,20.3490658503989,9.4764012244017
-351.382757936825,-922.966139513423,21.5804878708646,-980,-1000,20.3490658503989,9.4764012244017
-361.360809398145,-924.188899203686,22.0999022204446,-980,-1000,20.3490658503989,9.4764012244017
-371.338860859465,-925.411658893949,22.6193165700246,-980,-1000,20.3490658503989,9.4764012244017
-381.316912320785,-926.634418584213,23.1387309196045,-980,-1000,20.3490658503989,9.4764012244017
-391.294963782106,-927.857178274476,23.6581452691845,-980,-1000,20.3490658503989,9.4764012244017
-401.273015243426,-929.079937964739,24.1775596187644,-980,-1000,20.3490658503989,9.4764012244017
-411.251066704746,-930.302697655002,24.6969739683444,-980,-1000,20.3490658503989,9.4764012244017
-421.229118166066,-931.525457345265,25.2163883179244,-980,-1000,20.3490658503989,9.4764012244017
-431.207169627387,-932.748217035528,25.7358026675043,-980,-1000,20.3490658503989,9.4764012244017
-441.185221088707,-933.970976725791,26.2552170170843,-980,-1000,20.3490658503989,9.4764012244017
-451.163272550027,-935.193736416055,26.7746313666643,-980,-1000,20.3490658503989,9.4764012244017
-461.141324011347,-936.416496106318,27.2940457162442,-980,-1000,20.3490658503989,9.4764012244017
-471.119375472668,-937.639255796581,27.8134600658242,-980,-1000,20.3490658503989,9.4764012244017
-481.097426933988,-938.862015486844,28.3328744154042,-980,-1000,20.3490658503989,9.4764012244017
-491.075478395308,-940.084775177107,28.8522887649841,-980,-1000,20.3490658503989,9.4764012244017
-501.053529856628,-941.30753486737,29.3717031145641,-980,-1000,20.3490658503989,9.4764012244017
-511.031581317949,-942.530294557633,29.891117464144,-980,-1000,20.3490658503989,9.4764012244017
-521.009632779269,-943.753054247896,30.410531813724,-980,-1000,20.3490658503989,9.4764012244017
-530.987684240589,-944.975813938159,30.929946163304,-980,-1000,20.3490658503989,9.4764012244017
-540.965735701909,-946.198573628423,31.4493605128839,-980,-1000,20.3490658503989,9.4764012244017
-550.94378716323,-947.421333318686,31.9687748624639,-980,-1000,20.3490658503989,9.4764012244017
-560.92183862455,-948.644093008949,32.4881892120439,-980,-1000,20.3490658503989,9.4764012244017
-570.89989008587,-949.866852699212,33.0076035616238,-980,-1000,20.3490658503989,9.4764012244017
-580.87794154719,-951.089612389475,33.5270179112038,-980,-1000,20.3490658503989,9.4764012244017
-590.85599300851,-952.312372079738,34.0464322607838,-980,-1000,20.3490658503989,9.4764012244017
